period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,LA,Louisiana,IND,industrial,18191,5.84,185.3438,3175.74584
2023-12,ME,Maine,IND,industrial,2000,13.7,24.19577,176.63749
2023-12,MD,Maryland,IND,industrial,9256,10.17,28.94694,284.50093
2023-12,MA,Massachusetts,IND,industrial,10354,17.66,82.7302,468.39194
2023-12,MI,Michigan,IND,industrial,5673,8.29,186.42009,2248.3793
2022-06,US,U.S. Total,IND,industrial,1068161,8.85,7854.35491,88715.71321
2024-01,IA,Iowa,IND,industrial,8323,6.48,145.24635,2241.74689
2024-01,KS,Kansas,IND,industrial,23936,8.1,73.59173,908.15969
2024-01,KY,Kentucky,IND,industrial,5931,7.18,156.5293,2181.01329
2024-01,LA,Louisiana,IND,industrial,18148,5.75,191.47356,3331.1467
2024-07,MA,Massachusetts,IND,industrial,10121,18.33,91.19774,497.47938
2024-07,MI,Michigan,IND,industrial,5680,8.51,210.11482,2469.85023
2024-07,MN,Minnesota,IND,industrial,9541,9.77,172.7597,1768.84017
2024-07,MS,Mississippi,IND,industrial,11410,6.95,98.42802,1415.89598
2024-07,MO,Missouri,IND,industrial,9207,9.02,106.97755,1186.51238
2024-07,MT,Montana,IND,industrial,14125,8.12,36.11491,444.8332
2024-07,NE,Nebraska,IND,industrial,66234,7.87,93.38655,1186.98782
2024-07,NV,Nevada,IND,industrial,4958,9.93,123.72917,1245.87419
2024-07,NH,New Hampshire,IND,industrial,6240,15.96,32.80875,205.56621
2024-07,NJ,New Jersey,IND,industrial,11236,13.06,70.54052,540.07287
2024-07,NM,New Mexico,IND,industrial,9716,5.69,69.08687,1213.57659
2024-07,AL,Alabama,IND,industrial,7250,7.36,205.5112,2790.63639
2024-07,AK,Alaska,IND,industrial,1217,19.15,21.87263,114.22738
2024-07,AZ,Arizona,IND,industrial,7125,9.03,117.19322,1297.95161
2024-07,AR,Arkansas,IND,industrial,41799,6.92,123.09745,1777.74954
2024-07,CA,California,IND,industrial,152098,26.12,1159.54107,4439.63391
2024-07,CO,Colorado,IND,industrial,15037,9.32,132.4911,1421.38697
2024-07,CT,Connecticut,IND,industrial,3837,17.26,40.00493,231.75552
2024-07,DE,Delaware,IND,industrial,741,8.52,15.03803,176.44243
2024-07,DC,District of Columbia,IND,industrial,1,11.47,1.7871,15.58414
2024-07,FL,Florida,IND,industrial,27293,8.42,128.60143,1526.69579
2024-07,GA,Georgia,IND,industrial,24553,8.86,262.19994,2960.42185
2024-07,HI,Hawaii,IND,industrial,816,33.11,100.46056,303.40896
2024-07,ID,Idaho,IND,industrial,29818,8.44,111.54656,1321.61689
2024-07,IL,Illinois,IND,industrial,5464,9.39,335.95933,3579.16096
2024-07,IN,Indiana,IND,industrial,18586,8.2,306.7969,3740.16061
2024-07,IA,Iowa,IND,industrial,8637,8.27,193.00632,2332.69061
2024-07,KS,Kansas,IND,industrial,24929,8.35,86.95101,1040.8549
2024-07,KY,Kentucky,IND,industrial,5331,6.69,153.56316,2295.46204
2024-07,LA,Louisiana,IND,industrial,18458,5.62,208.40803,3708.70424
2024-07,ME,Maine,IND,industrial,1872,13.39,25.95852,193.9025
2024-07,MD,Maryland,IND,industrial,9067,11.06,36.58502,330.65782
2022-09,NE,Nebraska,IND,industrial,66779,7.52,87.56207,1164.17919
2022-09,NV,Nevada,IND,industrial,3537,11.28,126.2159,1118.51381
2022-09,NH,New Hampshire,IND,industrial,3164,15.33,25.36188,165.39602
2022-09,NJ,New Jersey,IND,industrial,11346,12.98,67.63824,521.23686
2022-09,NC,North Carolina,IND,industrial,9245,7.29,158.2823,2172.29267
2022-09,ND,North Dakota,IND,industrial,9206,7.31,74.35175,1017.10552
2022-09,OH,Ohio,IND,industrial,19301,7.79,327.11575,4200.37759
2022-09,OK,Oklahoma,IND,industrial,20124,7.59,138.05638,1819.08316
2022-09,OR,Oregon,IND,industrial,26951,7.41,116.11699,1568.09511
2024-04,NEW,New England,IND,industrial,20996,15.91,177.73066,1117.29294
2024-04,MAT,Middle Atlantic,IND,industrial,42698,7.92,471.14918,5949.31825
2024-04,ENC,East North Central,IND,industrial,54124,7.89,1184.2379,15005.88098
2024-04,WNC,West North Central,IND,industrial,131411,7.36,606.02154,8239.25446
2024-04,SAT,South Atlantic,IND,industrial,88058,7.4,843.75265,11397.9014
2024-04,ESC,East South Central,IND,industrial,24457,6.78,527.56696,7780.69158
2024-04,WSC,West South Central,IND,industrial,433420,5.83,1095.97787,18802.51509
2024-04,MTN,Mountain,IND,industrial,99702,7.27,499.94528,6877.58279
2024-04,PACC,Pacific Contiguous,IND,industrial,199863,13.22,835.95838,6323.01344
2024-04,PACN,Pacific Noncontiguous,IND,industrial,2018,31.08,120.41463,387.48793
2024-04,US,U.S. Total,IND,industrial,1096747,7.77,6362.75504,81880.93885
2024-04,OK,Oklahoma,IND,industrial,18531,5.31,98.23482,1849.07816
2024-04,OR,Oregon,IND,industrial,25641,7.16,95.59173,1335.67571
2024-04,PA,Pennsylvania,IND,industrial,14801,7.6,317.28021,4173.91252
2023-03,PACC,Pacific Contiguous,IND,industrial,206963,12.2,757.58913,6209.99986
2023-03,PACN,Pacific Noncontiguous,IND,industrial,1946,32.27,127.12125,393.90116
2023-03,US,U.S. Total,IND,industrial,1061218,7.8,6460.45854,82817.07913
2023-12,AL,Alabama,IND,industrial,7209,6.8,176.39835,2594.83092
2023-12,AK,Alaska,IND,industrial,1175,20.55,24.34964,118.49458
2023-12,AZ,Arizona,IND,industrial,7500,7.86,91.63267,1166.2807
2023-12,AR,Arkansas,IND,industrial,35614,6.33,96.52474,1524.11124
2023-12,CA,California,IND,industrial,146640,17.99,582.45146,3238.52613
2023-12,CO,Colorado,IND,industrial,15271,8.17,100.55349,1230.28108
2023-12,CT,Connecticut,IND,industrial,3874,16.28,30.61491,188.02759
2023-12,DE,Delaware,IND,industrial,878,7.52,11.27975,149.97939
2023-12,DC,District of Columbia,IND,industrial,1,10.93,1.73406,15.86543
2023-12,FL,Florida,IND,industrial,26428,9.08,132.42599,1458.00899
2023-12,GA,Georgia,IND,industrial,24007,6.23,157.35071,2524.64591
2023-12,HI,Hawaii,IND,industrial,815,35.4,100.86156,284.91185
2023-12,ID,Idaho,IND,industrial,29352,6.21,33.36188,537.15437
2023-12,IL,Illinois,IND,industrial,5507,8.1,277.7249,3428.78068
2023-12,IN,Indiana,IND,industrial,19381,7.87,259.08809,3291.55086
2023-12,IA,Iowa,IND,industrial,9701,5.97,134.89307,2260.17982
2023-12,KS,Kansas,IND,industrial,23793,7.14,65.11403,912.24452
2023-12,KY,Kentucky,IND,industrial,5103,6.36,142.39301,2238.69395
2009-10,NM,New Mexico,IND,industrial,6917,5.75,31.55941,549.17204
2009-10,NY,New York,IND,industrial,8540,8.46,97.06128,1147.33119
2009-10,NC,North Carolina,IND,industrial,11338,6.18,130.49996,2112.4257
2009-10,ND,North Dakota,IND,industrial,2510,5.24,16.58244,316.72952
2009-10,OH,Ohio,IND,industrial,21009,6.39,281.5286,4404.95705
2009-10,OK,Oklahoma,IND,industrial,17737,4.43,52.51551,1185.01364
2009-10,OR,Oregon,IND,industrial,22703,5.57,55.96498,1004.07487
2009-10,PA,Pennsylvania,IND,industrial,27396,7.24,268.5235,3708.07951
2009-10,RI,Rhode Island,IND,industrial,2011,12.55,9.48963,75.6112
2009-10,SC,South Carolina,IND,industrial,4438,5.76,125.40758,2177.06137
2009-10,SD,South Dakota,IND,industrial,2835,5.64,10.71666,190.00674
2009-10,TN,Tennessee,IND,industrial,2023,6.4,149.96478,2344.49324
2009-10,TX,Texas,IND,industrial,126603,6.32,516.48741,8170.1932
2009-10,UT,Utah,IND,industrial,9493,5.11,34.98717,684.10588
2009-10,VT,Vermont,IND,industrial,225,9.19,10.39957,113.21218
2009-10,VA,Virginia,IND,industrial,5270,6.81,100.10299,1470.88088
2009-10,WA,Washington,IND,industrial,26298,4.55,89.47485,1967.65008
2009-10,WV,West Virginia,IND,industrial,12229,5.27,49.32912,935.7037
2009-10,WI,Wisconsin,IND,industrial,4068,6.61,128.82485,1947.89392
2009-10,WY,Wyoming,IND,industrial,8715,5.11,44.31969,867.52847
2009-10,NEW,New England,IND,industrial,29341,13.2,313.32603,2373.24286
2019-12,DE,Delaware,IND,industrial,862,7.45,11.36521,152.50604
2019-12,DC,District of Columbia,IND,industrial,1,8.19,1.27076,15.51163
2019-12,FL,Florida,IND,industrial,23305,7.42,98.2662,1324.33553
2008-08,WI,Wisconsin,IND,industrial,5680,6.82,148.45177,2176.97115
2008-08,WY,Wyoming,IND,industrial,9472,4.66,37.89384,813.65049
2008-08,NEW,New England,IND,industrial,28475,14.09,262.36897,1862.58499
2008-08,MAT,Middle Atlantic,IND,industrial,49558,8.9,548.06255,6160.0663
2009-10,WSC,West South Central,IND,industrial,196613,5.77,745.21014,12923.8131
2009-10,MTN,Mountain,IND,industrial,82961,6.26,393.48185,6289.05176
2010-10,MTN,Mountain,IND,industrial,82507,6.15,404.11589,6570.18486
2010-10,PACC,Pacific Contiguous,IND,industrial,122811,7.98,604.35512,7576.26278
2010-10,PACN,Pacific Noncontiguous,IND,industrial,1920,19.72,85.89083,435.59904
2010-10,US,U.S. Total,IND,industrial,730877,6.8,5580.30528,82080.65341
2010-11,MS,Mississippi,IND,industrial,6875,6.23,80.05456,1286.00939
